user_id_str,in_reply_to_screen_name,created_at,in_reply_to_status_id_str,in_reply_to_user_id_str,verified,location,geo_enabled,user_created_at,statuses_count,followers_count,favourites_count,user_lang,friends_count,country,place_type
3420920555,FattiPatti2,Wed Dec 07 10:04:08 +0000 2016,8.06E+17,2835388914,FALSE,"Molina de Segura,Murcia,España",TRUE,Thu Aug 13 20:50:03 +0000 2015,62080,1077,255827,es,263,España,city
377491749,teresadu4,Wed Dec 07 10:04:45 +0000 2016,NA,134759149,FALSE,UNCASVILLE CT,TRUE,Wed Sep 21 17:21:58 +0000 2011,1157,54,327,en,128,United States,city
264495704,NA,Wed Dec 07 10:04:50 +0000 2016,NA,NA,FALSE,"Islington, North London",TRUE,Sat Mar 12 00:42:27 +0000 2011,16209,317,1212,en,2289,United Kingdom,city
944949480,neilsmith132,Wed Dec 07 10:05:01 +0000 2016,8.06E+17,268852339,FALSE,España,TRUE,Tue Nov 13 01:29:50 +0000 2012,18371,13936,27933,en,1342,Spain,city
944949480,boorn_david,Wed Dec 07 10:05:23 +0000 2016,8.06E+17,2839327919,FALSE,España,TRUE,Tue Nov 13 01:29:50 +0000 2012,18372,13936,27935,en,1342,Spain,city
944949480,supermyku,Wed Dec 07 10:05:57 +0000 2016,8.06E+17,7.60E+17,FALSE,España,TRUE,Tue Nov 13 01:29:50 +0000 2012,18373,13936,27935,en,1342,Spain,city
90138438,NA,Wed Dec 07 10:05:59 +0000 2016,NA,NA,FALSE,Lotusland,TRUE,Sun Nov 15 10:32:09 +0000 2009,4664,402,684,en,453,Canada,city
3420920555,NA,Wed Dec 07 10:06:00 +0000 2016,NA,NA,FALSE,"Molina de Segura,Murcia,España",TRUE,Thu Aug 13 20:50:03 +0000 2015,62081,1077,255831,es,263,España,city
944949480,Superturbi,Wed Dec 07 10:06:31 +0000 2016,8.06E+17,4361417477,FALSE,España,TRUE,Tue Nov 13 01:29:50 +0000 2012,18374,13936,27936,en,1342,Spain,city
2749460644,NA,Wed Dec 07 10:06:46 +0000 2016,NA,NA,FALSE,Earth-616,TRUE,Thu Aug 21 19:57:45 +0000 2014,784,229,659,en-gb,394,United Kingdom,city
944949480,teddywilliam22,Wed Dec 07 10:07:50 +0000 2016,8.06E+17,7.99E+17,FALSE,España,TRUE,Tue Nov 13 01:29:50 +0000 2012,18376,13936,27938,en,1342,Spain,city
